patent_id,gi_organization_id,fedagency_name,level_one,level_two,level_three
3944485,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,
3944553,5,Department of Defense,Department of Defense,,
3944562,95,National Institutes of Health,Department of Health and Human Services,National Institutes of Health,
3944562,119,National Cancer Institute,Department of Health and Human Services,National Institutes of Health,National Cancer Institute
3944575,18,United States Government,United States Government,,
3944614,18,United States Government,United States Government,,
3944638,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3944729,18,United States Government,United States Government,,
3944732,31,National Science Foundation,National Science Foundation,,
3944871,18,United States Government,United States Government,,
3944946,18,United States Government,United States Government,,
3944948,18,United States Government,United States Government,,
3944964,18,United States Government,United States Government,,
3944965,18,United States Government,United States Government,,
3944966,18,United States Government,United States Government,,
3944967,18,United States Government,United States Government,,
3945005,18,United States Government,United States Government,,
3945006,18,United States Government,United States Government,,
3945122,18,United States Government,United States Government,,
3945241,18,United States Government,United States Government,,
3945323,18,United States Government,United States Government,,
3945801,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,
3945845,18,United States Government,United States Government,,
3945879,35,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,
3945966,64,Navy,Department of Defense,Navy,
3945993,19,Department of Health and Human Services,Department of Health and Human Services,,
3945993,24,Department of Education,Department of Education,,
3946116,18,United States Government,United States Government,,
3946161,55,Army,Department of Defense,Army,
3946239,49,Atomic Energy Commission,Department of Energy,Atomic Energy Commission,
3946277,18,United States Government,United States Government,,
3946327,53,Air Force,Department of Defense,Air Force,
3946349,53,Air Force,Department of Defense,Air Force,
3946354,18,United States Government,United States Government,,
3946383,18,United States Government,United States Government,,
3946384,18,United States Government,United States Government,,
3946385,9,Department of Transportation,Department of Transportation,,
3946392,18,United States Government,United States Government,,
3946393,5,Department of Defense,Department of Defense,,
3946416,18,United States Government,United States Government,,
3946481,18,United States Government,United States Government,,
3946556,64,Navy,Department of Defense,Navy,
